lang1,lang2,weight
be,be-tarask,102
bo,br,763
bs,bxr,2750
btm,bxr,3029
bs,ca,15
btm,ca,590
de,din,293
de,dty,14
din,dty,281
diq,dty,5057
de,dtp,6
diq,dtp,3221
dga,dtp,50
din,dtp,156
dga,dty,83
el,en,87
frr,ga,44
fur,ga,1277
glk,gu,972
glk,guw,85
glk,got,1191
glk,gom,528
glk,gor,360
glk,gpe,168
glk,guc,58
glk,gur,36
glk,gsw,1
gn,gsw,4
got,gsw,3
gsw,gu,4
gv,hak,8084
hi,hr,15595
hi,ho,49
hy,iba,16
hyw,iba,400
hy,id,16
hyw,id,761
hz,iba,4
id,ilo,46
id,ii,30
it,iu,266
it,ja,703
ka,kab,3378
ka,kbd,955
ka,ki,119
ka,kge,245
ka,kg,145
ka,kbp,947
ka,kcg,435
ko,kr,3
ksh,kv,225
ksh,kus,4
ksh,kw,7
lmo,lrc,5
ln,lrc,14
lo,lrc,15
lv,mdf,1307
lv,map-bms,1680
mad,map-bms,2578
mad,mdf,1461
mg,min,141
mhr,min,14894
mi,min,20243
mus,my,142
mzn,nds,12586
na,nap,1361
nah,nds,18004
ne,nia,49
ne,nl,34
ne,ng,9
no,nv,328
no,nso,219
nov,nv,2272
nrm,nv,3720
nqo,nso,834
nqo,nv,352
nr,nso,529
nr,nv,160
olo,os,6364
om,os,1703
pa,pap,4371
pa,pdc,1621
pa,pam,10013
pa,pcd,2338
pa,pfl,500
pa,pcm,396
pl,pnb,78
pt,rm,379
pt,rmy,152
pt,rn,64
pwn,rm,198
pwn,rmy,145
pwn,rn,116
ru,rw,256
ru,sa,235
sa,sc,1387
sah,sc,13204
sco,se,2892
sco,sg,491
sco,sh,50
shi,simple,114
shi,shn,2169
shi,si,1924
shn,simple,3742
sr,stq,1040
sr,su,3685
srn,su,6190
ss,su,4689
st,su,3327
srn,sv,783
ss,sv,112
sw,ta,98
sw,szy,603
syl,szy,649
syl,ta,139
th,tig,65
tt,ug,1049
tum,ug,4665
tw,ug,6286
ty,ug,5631
tyv,ug,4813
tum,uk,61
tyv,uk,544
uz,vep,298
uz,vec,2216
vec,vi,18
xal,yi,1681
xh,yi,1274
zh,zh-min-nan,139
zh,zh-classical,1998
an,ar,544
ang,ar,1959
ann,ar,163
anp,ar,502
arc,arz,57
ary,arz,3184
arz,ast,64
bg,bi,185
bg,bjn,389
bg,blk,231
bg,bm,145
bg,bn,16
bn,bpy,1717
ca,ce,31
cbk-zam,ce,439
ce,ch,63
ce,chr,88
ce,ckb,100
ce,chy,68
dag,de,888
diq,dz,1287
diq,dv,5944
diq,ee,1772
fi,fr,192
fi,fon,105
fj,fon,482
fon,fr,60
fiu-vro,fr,1508
fiu-vro,fon,845
fo,fr,5801
fj,fr,160
frp,fy,1271
frp,fur,4320
fy,gag,482
gu,ha,844
gu,hak,393
gu,haw,288
gv,haw,2046
guc,haw,74
guc,hak,112
guw,ha,666
guw,hak,221
guw,haw,133
guc,ha,242
gu,he,48
gv,he,1808
gur,ha,177
gur,hak,79
guw,he,16
guc,he,31
gur,haw,43
gur,he,4
hr,ht,134
ilo,is,257
inh,is,431
kj,kk,139
km,ko,744
km,knc,694
kr,ku,21
ku,ky,2529
kv,ky,4712
kus,ky,25
lrc,lt,7
mo,mr,146
ms,mus,46
na,nan,20
nap,nb,18
nb,nds,7
nds,new,769
nds-nl,new,1488
or,pa,1362
pa,pi,737
pa,pl,341
pa,pih,13
pcm,pl,30
pnb,pt,93
ps,pt,2005
pnt,pt,450
pt,ro,60
ru,sah,13
rue,sah,4310
rw,sah,1471
sah,sco,302
sah,scn,2629
sh,si,611
sh,shn,4177
sh,simple,11
sl,so,3469
sm,so,4615
sl,sn,2510
sm,sn,6011
sl,sq,115
sm,sq,524
tr,tt,150
trv,tt,59
ty,uk,1235
tw,uk,6
vls,war,103
vls,wa,3377
war,xal,2
wo,xal,30
xal,yo,853
xh,yo,741
yo,zh,2082
za,zh,4861
zea,zh,6572
bar,bdr,118
bar,be,315
be-tarask,be-x-old,5
da,din,8
dag,din,181
da,diq,36
dag,diq,443
dag,dga,194
diq,el,50
gl,gn,230
mhr,mk,3293
mi,mk,8887
nah,nan,16
pih,pl,1
sr,sv,4
zh-classical,zh-cn,7
zh-min-nan,zh-tw,4
eml,eo,26
mn,mo,1
eo,et,37
lb,lij,9
lbe,lij,351
lez,lij,2353
lfn,lij,5002
lg,lij,2179
na,nds,512
nan,nap,7
fo,frr,817
fo,frp,1335
fon,frp,95
fon,frr,112
mh,min,31
ig,inh,731
ik,inh,438
igl,inh,58
ii,inh,26
ig,io,12
ik,io,2
is,iu,409
is,ja,20
lg,lld,14
nan,nds,3
nrm,ny,1206
hy,hz,1
it,jbo,13
it,jv,54
it,jam,14
iu,jbo,298
iu,jv,264
iu,jam,170
nrm,oc,1293
oc,os,500
fa,fat,12
new,nn,2155
nia,nn,30
ng,nn,2
aa,af,1
glk,gv,118
nqo,ny,60
nr,ny,35
pdc,pms,22
pfl,pms,1016
pi,pms,281
pih,pms,3
lfn,lld,5
roa-rup,rue,75
roa-tara,rue,134
egl,el,1
mzn,nan,1
su,sw,659
na,nb,6
nah,nb,4
tyv,ur,62
udm,ur,738
ug,ur,720
vec,vls,21
vep,vls,354
csb,cy,152
cu,cy,124
de,dv,11
dga,dv,24
din,dv,122
fr,fur,10
gl,gor,3
gl,guc,1
gl,gv,5
gl,gu,9
gl,got,2
gl,guw,1
gl,gom,2
hsb,hu,68
io,it,103
jam,ka,1
jbo,ka,133
lv,mg,133
mad,mg,129
mni,mo,1
os,pam,335
os,pag,275
pwn,ro,4
rsk,ru,6
rue,sat,654
rw,sat,476
rue,sc,15
rw,sc,29
st,sv,1
ta,tet,23
tcy,tet,130
ta,tg,141
tay,tg,156
tcy,tg,181
tdd,tg,64
tdd,tet,79
tay,tet,174
vo,wuu,2526
wa,wuu,2428
vo,wo,940
wa,wo,793
wuu,yi,1131
yi,za,420
yi,zea,470
yi,zgh,202
yi,zh,339
yo,zh-classical,475
zea,zh-classical,699
za,zh-classical,692
zgh,zh-classical,189
yue,zh-classical,2
